p,e,method,target_setting,method_label,replicates,replicates_planned,complete_replicates,d_cpdag_mean,d_cpdag_std,fdp_mean,fdp_std,tdp_mean,tdp_std,fit_seconds_mean,fit_seconds_std,mip_gap_mean,optimal_rate,selected_setting_counts,grid_fit_seconds_mean,grid_fit_seconds_std,selection_rule,tuning_interpretation
10,1,ps_mip_unknown,unknown,PS-MIP,10,10,True,2.2,3.1198290551460244,0.0877651515151515,0.1293708396987937,0.9011111111111111,0.11543440943089037,2.01718999966979,1.8955388639146342,3.516195205923739e-12,1.0,"{""bic_x0p5"": 1, ""bic_x1"": 7, ""bic_x2"": 2}",6.072843605000526,5.723640271567528,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,1,utigsp_unknown,unknown,UT-IGSP,10,10,True,1.7,1.3374935098492586,0.12638888888888886,0.09690473843251335,0.9416666666666667,0.08827915878928166,0.16204342590644952,0.06926216244641206,,,"{""alpha_0p0001"": 1, ""alpha_0p001"": 3, ""alpha_0p01"": 3, ""alpha_0p05"": 1, ""alpha_1em05"": 2}",0.8076731773093341,0.2753168302691973,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,1,gnies_unknown,unknown,GnIES,10,10,True,12.1,4.629614814791111,0.5622277722277722,0.21344690505571404,0.4660142635142635,0.18667672153993103,17.17909059729427,9.822141727266358,,,"{""bic_x1"": 3, ""bic_x2"": 2, ""bic_x4"": 5}",121.52191124176606,45.23040255362577,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,1,ps_mip_oracle,known_oracle,PS-MIP (oracle),10,10,True,0.7,1.1595018087284057,0.03499999999999999,0.06594516989210632,0.9738888888888889,0.0433546955891704,0.35921018319204445,0.27397485452571824,0.0,1.0,"{""g0p5"": 3, ""g1"": 7}",1.1027100110426544,0.9303061029491936,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,1,igsp_oracle,known_oracle,IGSP (oracle),10,10,True,2.2,1.8737959096740262,0.13027167277167276,0.09425505334883559,0.9030472305472305,0.10745433182050118,0.08803484542295334,0.03630093713459767,,,"{""alpha_0p0001"": 1, ""alpha_0p001"": 4, ""alpha_0p01"": 1, ""alpha_1em05"": 4}",0.44734176462516173,0.18998440398360414,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,1,gies_oracle,known_oracle,GIES (oracle),10,10,True,1.1,3.142893217686178,0.04957264957264957,0.12279169228080665,0.9615384615384615,0.12162606385262997,0.2877994529902935,0.07281027292328078,,,"{""bic_x1"": 8, ""bic_x2"": 1, ""bic_x4"": 1}",1.613429755344987,0.35325804052770365,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,2,ps_mip_unknown,unknown,PS-MIP,10,10,True,6.4,5.4609726443393045,0.1579336349924585,0.11866212248985575,0.8800202979742622,0.10638670848529094,10.325445659831166,10.838708632886705,0.0,1.0,"{""bic_x0p5"": 4, ""bic_x1"": 2, ""bic_x2"": 4}",33.29442225219682,36.63201058630195,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,2,utigsp_unknown,unknown,UT-IGSP,10,10,True,5.4,5.059644256269407,0.15806263081030877,0.1368517138610426,0.8976754759874964,0.12164646210915316,0.3502151542343199,0.11007394276320098,,,"{""alpha_0p0001"": 3, ""alpha_0p01"": 3, ""alpha_0p05"": 3, ""alpha_1em05"": 1}",1.5846513370983302,0.35007761275114657,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,2,gnies_unknown,unknown,GnIES,10,10,True,28.2,12.62977082575575,0.6515882495759857,0.1649071112653987,0.4479132058620549,0.22473568022072893,40.319020504318175,22.91617107232692,,,"{""bic_x1"": 1, ""bic_x2"": 3, ""bic_x4"": 6}",298.9071824291721,98.41879423000195,trialwise_min_true_d_cpdag,posthoc_oracle_potential
10,2,ps_mip_oracle,known_oracle,PS-MIP (oracle),10,10,True,4.6,4.247875285886398,0.10783113944878649,0.10269522026879907,0.9045016847318637,0.0870323809721804,2.771525024343282,4.423617607511103,0.0,1.0,"{""g0p5"": 2, ""g1"": 2, ""g2"": 6}",8.120871956460178,10.794844875978308,trialwise_min_true_d_cpdag,posthoc_oracle_potential
