graph,iter,lam,mu,rgap,TPR,FPR,d_cpdag,time
1,1,0.05,0.1,0.02145263783345744,1.0,0.0,0,26.394352912902832
1,2,0.05,0.1,0.0226865651284202,1.0,0.0,3,175.7143199443817
1,3,0.05,0.1,0.022317477444057186,1.0,0.0,0,62.82310199737549
1,4,0.05,0.1,0.023188179052098926,1.0,0.0,0,118.76576495170593
1,5,0.05,0.1,0.023090783676431748,1.0,0.0,0,274.375696182251
1,6,0.05,0.1,0.020527481360108978,0.7142857142857143,0.0,5,17.961747884750366
1,7,0.05,0.1,0.02296127257186089,0.8571428571428571,0.02631578947368421,7,35.92597508430481
1,8,0.05,0.1,0.022424249322302896,0.8571428571428571,0.02631578947368421,5,261.28337812423706
1,9,0.05,0.1,0.0180894415355145,1.0,0.0,0,21.550946950912476
1,10,0.05,0.1,0.02191582179512594,1.0,0.02631578947368421,5,11.339631080627441
2,1,0.05,0.1,0.09486373985909738,0.8823529411764706,0.005780346820809248,11,1000.0883131027222
2,2,0.05,0.1,0.02828936706099049,1.0,0.0,0,806.2821028232574
2,3,0.05,0.1,0.02820463347478314,1.0,0.0,0,197.17123794555664
2,4,0.05,0.1,0.02561963124298619,0.9411764705882353,0.0,3,849.3225679397583
2,5,0.05,0.1,0.03494919036307733,1.0,0.0,2,1000.0255508422852
2,6,0.05,0.1,0.028428646619127283,1.0,0.0,0,718.0377781391144
2,7,0.05,0.1,0.0404701578398889,0.8823529411764706,0.0,3,1000.0200309753418
2,8,0.05,0.1,0.027706927465058363,1.0,0.0,0,638.3099720478058
2,9,0.05,0.1,0.028918520643918727,1.0,0.0,0,417.6487970352173
2,10,0.05,0.1,0.02821029244372871,1.0,0.0,0,610.6761810779572
